Port,Status,Service,Banner,CVE,Severity
22,OPEN,SSH,SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13,CVE-2015-5600,MEDIUM
80,OPEN,HTTP,HTTP/1.1 200 OK,,
